999,Date,BTC,ETH,XRP,USDT,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,ATOM,LEO,XMR,HT,LINK,NEO,DASH,ETC,MIOTA,CRO,USDC,STO,TAGZ5,MIN,INNBCL,HEX,ACA,COMP,VET,VEST,XEM,DOT,YFI,WBTC,BUSD,DAI,FIL,ALGO,REV,THETA,UNI,AAVE,DOGE,SNX,EGLD,AVAX,SOL,LUNA,KLAY,BTT,SHIB,ICP,MATIC,FTT,UST
2.81,2020-01-01,7200.17,130.80,0.1927,0.9998,204.40,42.02,2.60,13.69,97.20,1.37,0.04545,0.01325,0.03346,4.38,0.82,45.75,2.82,1.81,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.74,2020-01-02,6985.47,127.41,0.188,1.00,195.70,39.82,2.46,13.03,92.84,1.24,0.04411,0.01287,0.03275,4.09,0.8218,45.75,2.75,1.74,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.89,2020-01-03,7344.88,134.17,0.1935,1.00,222.41,42.42,2.64,13.66,102.61,1.28,0.04523,0.01343,0.03418,4.25,0.8515,51.09,2.85,1.81,8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.90,2020-01-04,7410.66,135.07,0.1944,1.01,226.02,43.33,2.67,13.89,109.67,1.26,0.04627,0.01352,0.03459,4.29,0.8519,50.54,2.92,1.84,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.92,2020-01-05,7411.32,136.28,0.1955,1.01,224.10,43.55,2.70,14.11,110.87,1.26,0.04536,0.01362,0.03472,4.23,0.857,54.10,2.94,1.81,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.01,2020-01-06,7769.22,144.30,0.2215,1.00,244.56,45.82,2.86,14.96,117.81,1.31,0.04912,0.01455,0.03727,4.10,0.8717,58.97,3.05,1.94,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87,2020-01-07,8163.69,143.54,0.2139,1.00,243.26,46.42,2.85,15.01,114.06,1.30,0.04984,0.01437,0.03705,4.10,0.8857,58.82,3.14,2.11,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.14,2020-01-08,8079.86,141.26,0.209,1.00,241.06,45.65,2.79,14.60,114.17,1.33,0.04872,0.01407,0.03643,4.01,0.9015,59.46,3.07,2.18,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.89,2020-01-09,7879.07,138.98,0.2049,1.01,239.22,45.22,2.76,14.50,117.74,1.29,0.04646,0.01406,0.03636,4.26,0.8699,59.20,3.06,2.19,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.03,2020-01-10,8166.55,143.96,0.2123,1.00,270.73,48.73,2.97,15.03,171.16,1.31,0.0464,0.01461,0.03687,4.26,0.8705,58.57,3.11,2.22,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.00,2020-01-11,8037.54,142.93,0.2119,1.00,260.68,49.26,2.99,14.95,150.73,1.31,0.04755,0.01461,0.03683,4.28,0.8596,58.45,3.16,2.28,9.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.08,2020-01-12,8192.49,145.87,0.2156,1.00,268.24,51.08,3.19,15.32,165.01,1.31,0.04832,0.01498,0.03769,4.26,0.8707,59.32,3.09,2.25,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.04,2020-01-13,8144.19,144.23,0.2126,1.00,267.52,49.73,3.11,15.23,174.33,1.28,0.04812,0.01471,0.03697,4.26,0.8468,58.01,3.05,2.19,10.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
