Date,BTC,ETH,USDT,XRP,LTC,DOT,BCH,ADA,BNB,LINK,USDC,WBTC,BSV,XLM,EOS,XMR,XEM,THETA,TRX,XTZ,VET,UNI,AAVE,DOGE,BUSD,DAI,SNX,ATOM,EGLD,AVAX,HT,CRO,SOL,MIOTA,LUNA,FIL,KLAY,BTT,ETC,SHIB,ICP,MATIC,ALGO,FTT,UST
2021-01-01,29374.15,730.37,1.00,0.2374,126.23,8.31,341.99,0.1753,37.91,11.87,0.9998,29349.44,163.12,0.1324,2.64,136.05,0.2223,1.97,0.02694,2.01,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,32127.27,774.53,1.00,0.2217,136.94,9.21,354.60,0.1774,38.24,12.22,1.00,32164.80,163.09,0.1278,2.63,143.12,0.2032,2.40,0.02722,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,32782.02,975.51,1.00,0.2258,160.19,10.03,421.79,0.205,41.15,13.65,0.9997,33008.13,171.39,0.1364,2.80,138.06,0.2105,2.12,0.02949,,0.02592,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,31971.91,1040.23,1.00,0.2367,154.81,9.47,407.94,0.2248,40.93,13.57,0.9994,31950.11,167.59,0.1652,2.81,133.60,0.2048,1.96,0.03085,2.31,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,33992.43,1100.01,1.00,0.2268,158.59,9.70,419.77,0.2583,41.73,14.54,0.9997,33968.24,168.63,0.1948,2.90,136.83,0.2057,2.13,0.02863,,0.02791,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,36824.36,1207.11,1.00,0.2509,169.02,10.10,454.48,0.3319,42.17,17.16,0.9997,36680.52,179.85,0.3408,3.38,142.32,0.2583,2.18,0.03051,2.62,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,39371.04,1225.68,1.00,0.326,169.62,9.64,449.57,0.3,43.45,16.03,0.9979,39335.31,176.24,0.3158,3.20,143.10,0.2483,1.99,0.03107,2.53,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,40797.61,1224.20,1.00,0.3232,173.28,9.31,441.06,0.3056,42.40,15.29,0.9997,40574.24,180.46,0.3028,3.12,142.53,0.2338,1.99,0.03061,2.46,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,40254.55,1281.08,1.00,0.3269,177.48,9.78,573.91,0.333,43.93,17.61,0.9998,40236.77,284.51,0.3119,3.63,147.57,0.2414,2.04,0.03403,2.64,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,38356.44,1262.25,1.00,0.3183,171.11,9.31,603.60,0.3049,42.45,16.25,1.00,38332.34,253.71,0.2887,3.09,185.14,0.2356,1.99,0.03293,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
